id,long,lat
293,114.7,-28.75
294,114.7,-28.8
295,114.7,-28.85
296,114.7,-28.9
297,114.75,-27.3
298,114.75,-27.35
299,114.75,-27.4
300,114.75,-27.45
301,114.75,-27.5
302,114.75,-27.55
303,114.75,-27.6
304,114.75,-27.65
305,114.75,-27.7
306,114.75,-27.75
307,114.75,-27.8
308,114.75,-27.85
309,114.75,-27.9
310,114.75,-27.95
311,114.75,-28
312,114.75,-28.05
313,114.75,-28.1
314,114.75,-28.15
315,114.75,-28.2
316,114.75,-28.25
317,114.75,-28.3
318,114.75,-28.35
319,114.75,-28.4
320,114.75,-28.45
321,114.75,-28.5
322,114.75,-28.55
323,114.75,-28.6
324,114.75,-28.65
325,114.75,-28.7
326,114.75,-28.75
327,114.75,-28.8
328,114.75,-28.85
329,114.75,-28.9
330,114.75,-28.95
331,114.8,-27.3
332,114.8,-27.35
333,114.8,-27.4
334,114.8,-27.45
335,114.8,-27.5
336,114.8,-27.55
337,114.8,-27.6
338,114.8,-27.65
339,114.8,-27.7
340,114.8,-27.75
341,114.8,-27.8
342,114.8,-27.85
343,114.8,-27.9
344,114.8,-27.95
345,114.8,-28
346,114.8,-28.05
347,114.8,-28.1
348,114.8,-28.15
349,114.8,-28.2
350,114.8,-28.25
351,114.8,-28.3
352,114.8,-28.35
353,114.8,-28.4
354,114.8,-28.45
355,114.8,-28.5
356,114.8,-28.55
357,114.8,-28.6
358,114.8,-28.65
359,114.8,-28.7
360,114.8,-28.75
361,114.8,-28.8
362,114.8,-28.85
363,114.8,-28.9
364,114.8,-28.95
365,114.8,-29
366,114.85,-27.3
367,114.85,-27.35
368,114.85,-27.4
369,114.85,-27.45
370,114.85,-27.5
371,114.85,-27.55
372,114.85,-27.6
373,114.85,-27.65
374,114.85,-27.7
375,114.85,-27.75
376,114.85,-27.8
377,114.85,-27.85
378,114.85,-27.9
379,114.85,-27.95
380,114.85,-28
381,114.85,-28.05
382,114.85,-28.1
383,114.85,-28.15
384,114.85,-28.2
385,114.85,-28.25
386,114.85,-28.3
387,114.85,-28.35
388,114.85,-28.4
389,114.85,-28.45
390,114.85,-28.5
391,114.85,-28.55
392,114.85,-28.6
393,114.85,-28.65
394,114.85,-28.7
395,114.85,-28.75
396,114.85,-28.8
397,114.85,-28.85
398,114.85,-28.9
399,114.85,-28.95
400,114.85,-29
401,114.85,-29.05
402,114.9,-27.3
403,114.9,-27.35
404,114.9,-27.4
405,114.9,-27.45
406,114.9,-27.5
407,114.9,-27.55
408,114.9,-27.6
409,114.9,-27.65
410,114.9,-27.7
411,114.9,-27.75
412,114.9,-27.8
413,114.9,-27.85
414,114.9,-27.9
415,114.9,-27.95
416,114.9,-28
417,114.9,-28.05
418,114.9,-28.1
419,114.9,-28.15
420,114.9,-28.2
421,114.9,-28.25
422,114.9,-28.3
423,114.9,-28.35
424,114.9,-28.4
425,114.9,-28.45
426,114.9,-28.5
427,114.9,-28.55
428,114.9,-28.6
429,114.9,-28.65
430,114.9,-28.7
431,114.9,-28.75
432,114.9,-28.8
433,114.9,-28.85
434,114.9,-28.9
435,114.9,-28.95
436,114.9,-29
437,114.9,-29.05
438,114.9,-29.1
439,114.9,-29.15
440,114.9,-29.2
441,114.95,-27.3
442,114.95,-27.35
443,114.95,-27.4
444,114.95,-27.45
445,114.95,-27.5
446,114.95,-27.55
447,114.95,-27.6
448,114.95,-27.65
449,114.95,-27.7
450,114.95,-27.75
451,114.95,-27.8
452,114.95,-27.85
453,114.95,-27.9
454,114.95,-27.95
455,114.95,-28
456,114.95,-28.05
457,114.95,-28.1
458,114.95,-28.15
459,114.95,-28.2
460,114.95,-28.25
461,114.95,-28.3
462,114.95,-28.35
463,114.95,-28.4
464,114.95,-28.45
465,114.95,-28.5
466,114.95,-28.55
467,114.95,-28.6
468,114.95,-28.65
469,114.95,-28.7
470,114.95,-28.75
471,114.95,-28.8
472,114.95,-28.85
473,114.95,-28.9
474,114.95,-28.95
475,114.95,-29
476,114.95,-29.05
477,114.95,-29.1
478,114.95,-29.15
479,114.95,-29.2
480,114.95,-29.25
481,114.95,-29.3
482,115,-27.3
483,115,-27.35
484,115,-27.4
485,115,-27.45
486,115,-27.5
487,115,-27.55
488,115,-27.6
489,115,-27.65
490,115,-27.7
491,115,-27.75
492,115,-27.8
493,115,-27.85
494,115,-27.9
495,115,-27.95
496,115,-28
497,115,-28.05
498,115,-28.1
499,115,-28.15
500,115,-28.2
501,115,-28.25
502,115,-28.3
503,115,-28.35
504,115,-28.4
505,115,-28.45
